Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
tbb::spin_rw_mutex_v3::internal_acquire_reader                                                                                                                                                                                                                                                                                                                                                   libtbb.so.2                  0.096s     0.096s             0s
tbb::internal::mail_outbox::empty                                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.093s     0.093s             0s
tbb::internal::arena::process                                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.092s         0s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.086s     0.086s             0s
tiny_cnn::fully_connected_layer<tiny_cnn::activation::tan_h, tiny_cnn::filter_none>::back_propagation                                                                                                                                                                                                                                                                                            cnn                          0.085s         0s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::store_with_release                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.076s         0s             0s
tiny_cnn::parse_mnist_images                                                                                                                                                                                                                                                                                                                                                                     cnn                          0.067s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.065s         0s         0.065s
__mul                                                                                                                                                                                                                                                                                                                                                                                            libm-2.12.so                 0.061s         0s             0s
tbb::internal::allocate_continuation_proxy::allocate                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.059s         0s             0s
syscall                                                                                                                                                                                                                                                                                                                                                                                          libc-2.12.so                 0.055s         0s             0s
tbb::task_group_context::is_group_execution_cancelled                                                                                                                                                                                                                                                                                                                                            libtbb.so.2                  0.053s         0s             0s
_int_free                                                                                                                                                                                                                                                                                                                                                                                        libc-2.12.so                 0.050s         0s             0s
tbb::internal::rml::private_server::propagate_chain_reaction                                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.049s         0s             0s
malloc                                                                                                                                                                                                                                                                                                                                                                                           libc-2.12.so                 0.045s         0s             0s
rml::internal::thread_monitor::cancel_wait                                                                                                                                                                                                                                                                                                                                                       libtbb.so.2                  0.045s         0s             0s
tbb::interface7::internal::allocate_sibling.constprop.557                                                                                                                                                                                                                                                                                                                                        cnn                          0.044s         0s             0s
_int_malloc                                                                                                                                                                                                                                                                                                                                                                                      libc-2.12.so                 0.043s         0s             0s
tbb::internal::machine_load_store<int, (unsigned long)4>::load_with_acquire                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.043s         0s             0s
__itt_notify_sync_releasing                                                                                                                                                                                                                                                                                                                                                                      libittnotify_collector.so    0.042s         0s             0s
tbb::internal::rml::private_server::wake_some                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.041s         0s             0s
_ZN8tiny_cnn4for_IZNS_21fully_connected_layerINS_10activation5tan_hENS_11filter_noneEE16back_propagationERKSt6vectorIdSaIdEEmEUlRKN3tbb13blocked_rangeIiEEE_EEvbiiT_                                                                                                                                                                                                                             cnn                          0.036s         0s             0s
tiny_cnn::activation::identity::df                                                                                                                                                                                                                                                                                                                                                               cnn                          0.034s         0s             0s
[Import thunk sched_yield]                                                                                                                                                                                                                                                                                                                                                                       libtbb.so.2                  0.033s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.032s         0s         0.032s
_INTERNAL_27_______src_tbb_scheduler_cpp_3f34bbdd::__TBB_machine_pause                                                                                                                                                                                                                                                                                                                           libtbb.so.2                  0.030s     0.028s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.029s         0s         0.029s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::bprop                                                                                                                                                                                                                                                                                                          cnn                          0.029s         0s             0s
tbb::interface7::internal::auto_partition_type::is_divisible.part.28                                                                                                                                                                                                                                                                                                                             cnn                          0.024s         0s             0s
free                                                                                                                                                                                                                                                                                                                                                                                             libc-2.12.so                 0.023s         0s             0s
tbb::internal::allocate_child_proxy::allocate                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.023s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.022s         0s         0.022s
__itt_stack_callee_leave                                                                                                                                                                                                                                                                                                                                                                         libittnotify_collector.so    0.022s         0s             0s
tbb::interface7::internal::flag_task::execute                                                                                                                                                                                                                                                                                                                                                    cnn                          0.021s         0s         0.021s
