Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
pthread_mutex_init                                                                                                                                                                                                                                                                                                                                                                               libpthread-2.12.so           0.001s     0.001s             0s
std::basic_filebuf<char, std::char_traits<char>>::xsgetn                                                                                                                                                                                                                                                                                                                                         libstdc++.so.6.0.13          0.001s         0s             0s
std::generate_canonical<double, (unsigned long)53, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>  cnn                          0.001s         0s             0s
std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::_M_insert_float<double>                                                                                                                                                                                                                                                                                              libstdc++.so.6.0.13          0.001s         0s             0s
std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>::do_put                                                                                                                                                                                                                                                                                                               libstdc++.so.6.0.13          0.001s         0s             0s
std::ostream::_M_insert<double>                                                                                                                                                                                                                                                                                                                                                                  libstdc++.so.6.0.13          0.001s         0s             0s
std::vector<double, std::allocator<double>>::vector                                                                                                                                                                                                                                                                                                                                              cnn                          0.001s         0s             0s
std::vector<std::pair<unsigned short, unsigned short>, std::allocator<std::pair<unsigned short, unsigned short>>>::_M_emplace_back_aux<unsigned short&, unsigned short&>                                                                                                                                                                                                                         cnn                          0.001s         0s             0s
std::vector<std::pair<unsigned short, unsigned short>, std::allocator<std::pair<unsigned short, unsigned short>>>::emplace_back<unsigned short&, unsigned short&>                                                                                                                                                                                                                                cnn                          0.001s         0s             0s
std::vector<std::vector<std::pair<unsigned short, unsigned short>, std::allocator<std::pair<unsigned short, unsigned short>>>, std::allocator<std::vector<std::pair<unsigned short, unsigned short>, std::allocator<std::pair<unsigned short, unsigned short>>>>>::vector                                                                                                                        cnn                          0.001s         0s             0s
tbb::internal::NFS_Allocate                                                                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.001s         0s             0s
tbb::internal::arena::advertise_new_work<(bool)1>                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.001s         0s             0s
tbb::internal::arena::mailbox                                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.001s         0s             0s
tbb::internal::atomic_backoff::atomic_backoff                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.001s     0.001s             0s
tbb::internal::atomic_backoff::pause                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.001s         0s             0s
tbb::internal::atomic_impl_with_arithmetic<unsigned int, unsigned int, char>::operator++                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.001s         0s             0s
tbb::internal::basic_tls<tbb::internal::generic_scheduler*>::get                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.001s         0s             0s
tbb::internal::get_initial_auto_partitioner_divisor                                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  0.001s         0s             0s
tbb::internal::machine_load_store<int, (unsigned long)4>::load_with_acquire                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.001s         0s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::load_with_acquire                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s         0s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::load_with_acquire                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s         0s         0.001s
tbb::internal::machine_load_store<long, (unsigned long)8>::load_with_acquire                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s     0.001s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::load_with_acquire                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s         0s             0s
tbb::internal::machine_load_store_relaxed<tbb::internal::task_proxy*, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.001s     0.001s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.001s     0.001s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::store                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.001s         0s         0.001s
tbb::internal::mail_inbox::empty                                                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.001s     0.001s             0s
tbb::internal::market::update_allotment                                                                                                                                                                                                                                                                                                                                                          libtbb.so.2                  0.001s         0s             0s
tbb::internal::observer_list::notify_entry_observers                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.001s         0s             0s
tbb::internal::observer_list::notify_exit_observers                                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  0.001s         0s             0s
tbb::task_group_context::copy_fp_settings                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.001s         0s             0s
tbb::task_group_context::~task_group_context                                                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s         0s             0s
tiny_cnn::activation::tan_h::scale                                                                                                                                                                                                                                                                                                                                                               cnn                          0.001s         0s             0s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::check_training_data<unsigned long>                                                                                                                                                                                                                                                                             cnn                          0.001s         0s             0s
tiny_cnn::parse_mnist_labels                                                                                                                                                                                                                                                                                                                                                                     cnn                          0.001s         0s             0s
uselocale                                                                                                                                                                                                                                                                                                                                                                                        libc-2.12.so                 0.001s         0s             0s
